Architecture,Memory_MB,Workers,Stage,Example,Executions,Compute_Time_s,Energy_J,Cost_dollars
x86,512,4,stage3,ml,10,3.854360580444336,1364.6981183271407,0.12850438175201415
x86,512,5,stage3,ml,10,3.933221459388733,1720.838128168583,0.16391700432002546
x86,512,6,stage3,ml,10,4.007861638069153,2094.721461482048,0.20043316051983837
x86,512,7,stage3,ml,10,4.059470558166504,2421.5035033025742,0.23684980971622474
x86,512,8,stage3,ml,10,4.112745451927185,2866.389592752457,0.27423786673450473
x86,512,9,stage3,ml,10,4.195767736434936,3267.9828126111033,0.31474551674866674
x86,512,10,stage3,ml,10,4.308981823921203,3807.3939558696748,0.35915363502383235
x86,512,12,stage3,ml,10,4.424480009078979,4574.593526103973,0.4425364905080795
x86,512,16,stage3,ml,9,4.81985608736674,6020.819227455987,0.6427760078112286
x86,512,20,stage3,ml,9,5.051013496186998,7755.544723611407,0.8420039498143727
x86,512,24,stage3,ml,10,5.574599719047546,10363.438940185548,1.1151429277982712
x86,512,28,stage3,ml,10,5.55474967956543,11439.958810319902,1.29636748021698
x86,2048,4,stage,pi,19,35.69385689496994,17279.059214614696,4.760132755513191
x86,2048,5,stage,pi,18,28.783149263593884,19603.987478201918,4.7981509822411015
x86,2048,6,stage,pi,18,24.915900965531666,23986.974667663642,4.984176829144955
x86,2048,7,stage,pi,18,22.76903930542961,30475.81140687112,5.313838393101163
x86,2048,8,stage,pi,18,21.725622379117542,37246.701876200335,5.794658000958231
x86,2048,9,stage,pi,18,19.31458870717037,37416.507526463676,5.795535487473542
x86,2048,10,stage,pi,18,17.364883736769357,38567.26191172563,5.789452237838905
x86,2048,12,stage,pi,18,14.153670854038662,38733.331868300236,5.662600635283788
x86,2048,16,stage,pi,18,11.84444365898768,53379.749656856664,6.318300025450389
x86,2048,20,stage,pi,18,9.522930343283548,56308.86270353559,6.349889952901471
x86,2048,24,stage,pi,18,8.616857331108164,69854.6608345933,6.89486456205951
x86,2048,28,stage,pi,18,7.366427194504511,72677.26662918594,6.876707114613851
x86,1024,4,stage0,video,11,5.050138993696733e-06,1314.171520943642,3.367432680996982e-07
x86,1024,5,stage0,video,11,5.375255237926137e-06,1711.8660866558548,4.480275240811435e-07
x86,1024,6,stage0,video,11,5.375255237926137e-06,1930.9509962975976,5.376330288973722e-07
x86,1024,7,stage0,video,11,5.353580821644176e-06,2320.901159527898,6.24709346077659e-07
x86,1024,8,stage0,video,11,5.9387900612571025e-06,2481.493077712059,7.919970425692473e-07
x86,1024,9,stage0,video,11,6.242231889204546e-06,3165.5972692841287,9.365220503373582e-07
x86,1024,10,stage0,video,11,6.112185391512784e-06,3283.064728933573,1.0189013047651812e-06
x86,1024,12,stage0,video,11,5.765394731001421e-06,3978.36835415125,1.153309561989524e-06
x86,1024,16,stage0,video,11,5.201859907670454e-06,5204.54485874176,1.3874400745738635e-06
x86,1024,20,stage0,video,11,5.266883156516335e-06,6531.393139421939,1.7559788443825465e-06
x86,1024,24,stage0,video,11,5.9604644775390625e-06,8263.007323408126,2.3846626281738283e-06
x86,1024,28,stage0,video,11,5.310231989080256e-06,9412.152419838905,2.4786038832231e-06
x86,512,4,stage0,video,7,122.5113367012569,13383.072310785567,4.084527965619905
x86,512,5,stage0,video,7,124.75470181873867,17342.967330510277,5.199152198295934
x86,512,6,stage0,video,8,141.26577338576317,22582.7175957191,7.064701327022017
x86,512,7,stage0,video,8,137.0710137784481,26448.53294970602,7.997408298903555
x86,512,8,stage0,video,8,140.88722693920135,29527.403346426487,9.394360292305947
x86,512,9,stage0,video,8,141.27687573432922,35745.43150787115,10.597884833210706
x86,512,10,stage0,video,7,147.34040996006556,39623.717428806856,12.280823170171466
x86,512,12,stage0,video,7,145.36466349874223,46307.966710162844,14.539373643144199
x86,512,16,stage0,video,8,140.72875586152077,65119.49982895851,18.76758688169241
x86,512,20,stage0,video,8,136.7704881131649,77673.80469034909,22.79964036846459
x86,512,24,stage0,video,8,143.40992215275764,99478.70622041702,28.687720827437644
x86,512,28,stage0,video,8,132.88631439208984,108634.12621314288,31.013008052825928
x86,512,4,stage1,video,11,6.69739463112571e-06,1526.2743583929537,2.232911370017312e-07
x86,512,5,stage1,video,11,8.483366532759232e-06,2266.5037992352245,3.53544300252741e-07
x86,512,6,stage1,video,11,7.148944970333215e-06,2447.065669034124,3.575187379663641e-07
x86,512,7,stage1,video,11,7.400264987697849e-06,3074.585516624451,4.31768460707231e-07
x86,512,8,stage1,video,11,7.632103833285244e-06,3550.530050576329,5.089086836034601e-07
x86,512,9,stage1,video,11,8.144763985065498e-06,4092.9504172825814,6.109794703396885e-07
x86,512,10,stage1,video,11,8.006529374556107e-06,4583.907053733468,6.673442233692516e-07
x86,512,12,stage1,video,11,7.949092171408914e-06,5539.021646223664,7.950681989843197e-07
x86,512,16,stage1,video,11,8.205121213739568e-06,7400.598639756441,1.0942349650643088e-06
x86,512,20,stage1,video,11,7.961013100363991e-06,9282.074665282964,1.3271008838306775e-06
x86,512,24,stage1,video,11,8.350068872625178e-06,11176.685331130027,1.6703477772799407e-06
x86,512,28,stage1,video,11,8.667444253896738e-06,13579.450750320555,2.022808139974421e-06
ARM,512,4,stage0,ml,16,5.870146298270508,644.6762492868626,0.15661550323785714
ARM,512,5,stage0,ml,16,5.691862250878313,787.3213809294526,0.18982360606679174
ARM,512,6,stage0,ml,16,5.5659046577082085,957.8790947682713,0.22274750440148247
ARM,512,7,stage0,ml,16,5.560912881837067,1137.5531601764603,0.2596390224529726
ARM,512,8,stage0,ml,16,5.592642024472445,1283.8171227148816,0.29842337842584965
ARM,512,9,stage0,ml,18,5.5492852071949255,1420.9200420907073,0.3331235909879114
ARM,512,10,stage0,ml,16,5.683189527530981,1613.7850063084554,0.3790687414863165
ARM,512,12,stage0,ml,18,5.73047616896889,1930.4249187828368,0.4586673125642699
ARM,512,16,stage0,ml,16,5.7938638676412095,2659.980080837957,0.6183211519546699
ARM,512,20,stage0,ml,20,5.576064325721736,3265.766400805697,0.7438469810512797
ARM,512,24,stage0,ml,16,5.736800393876761,4079.057718512399,0.9183470070517918
ARM,512,28,stage0,ml,16,5.6212280916603525,4508.063290378674,1.0498205583984872
ARM,1024,4,stage1,ml,12,45.266330080884536,5578.815039720839,2.4154113731159987
ARM,1024,5,stage1,ml,12,44.93753927714533,6878.330292646555,2.9973338697855936
ARM,1024,6,stage1,ml,12,44.87742000949581,8284.24331687303,3.5919886975600446
ARM,1024,7,stage1,ml,12,44.992164208761835,9686.556779638182,4.20136829381418
ARM,1024,8,stage1,ml,24,44.96751708154093,11060.408146101101,4.7989334229420475
ARM,1024,9,stage1,ml,24,45.065820113378514,12422.459840752383,5.410602362812224
ARM,1024,10,stage1,ml,24,45.30356394946016,13921.04127568889,6.043495430857986
ARM,1024,12,stage1,ml,12,45.15889807838918,16609.369644142982,7.229036404388539
ARM,1024,16,stage1,ml,18,45.32260641103442,22263.197863250592,9.673657112371187
ARM,1024,20,stage1,ml,20,45.496021780197715,27913.328946395763,12.13833861095675
ARM,1024,24,stage1,ml,17,45.339826654976335,33404.28183788164,14.515998901857225
ARM,1024,28,stage1,ml,20,45.267406988879145,38993.841505384116,16.908281858486138
ARM,1024,4,stage3,video,8,13.405992776155472,1964.0287887215613,0.7153437745356559
ARM,1024,5,stage3,video,13,13.411843850062443,2457.4862177922173,0.8945699847991648
ARM,1024,6,stage3,video,12,12.32038414478302,2750.2197707831856,0.986123546948433
ARM,1024,7,stage3,video,12,11.986460149288177,3111.6778670410313,1.1192956487405301
ARM,1024,8,stage3,video,11,10.420346715233542,3156.9244683872566,1.1120594014497236
ARM,1024,9,stage3,video,11,15.164694265885787,4933.21776036566,1.8206731935622475
ARM,1024,10,stage3,video,13,19.736966059758114,7038.654096530035,2.6329112723717323
ARM,1024,12,stage3,video,15,19.724721511205036,8303.335447149277,3.157533419513702
ARM,1024,16,stage3,video,14,14.572309817586627,8423.075583485195,3.1103138074656895
ARM,1024,20,stage3,video,15,13.992217985788981,10223.281293090187,3.7331237586085
ARM,1024,24,stage3,video,13,14.17143757526691,12355.164165621536,4.537127454097455
ARM,1024,28,stage3,video,15,16.709508832295736,16556.90299529076,6.241335739039103
x86,1024,4,stage2,video,10,0.5416481852531433,946.0168034877778,0.0361171009926796
x86,1024,5,stage2,video,9,0.3560924688975016,1021.2866084120009,0.029680307282606764
x86,1024,6,stage2,video,9,0.2963844626038163,1184.4119705896908,0.029644373949633707
x86,1024,7,stage2,video,9,0.2528893569159129,1369.7135472684438,0.02950965905851788
x86,1024,8,stage2,video,10,0.22108688354492187,1530.3830768215655,0.02948414678955078
x86,1024,9,stage2,video,11,0.20385505213881983,1683.3064238476754,0.03058437347238714
x86,1024,10,stage2,video,12,0.18009088039398194,1858.3846282029153,0.03002114976167679
x86,1024,12,stage2,video,11,0.1447154933756048,2207.007153456211,0.028948887294855986
x86,1024,16,stage2,video,12,0.11218484863638878,2889.3681538722917,0.029921942828297618
x86,1024,20,stage2,video,13,0.07852153319578904,3490.83164143654,0.026179079167476065
x86,1024,24,stage2,video,12,0.07166472325722377,4324.751619607607,0.028671622480750086
x86,1024,28,stage2,video,14,0.2184536061724838,4868.221349076032,0.10196540521706855
x86,1024,4,stage0,ml,10,2.8865458965301514,1608.8532488183976,0.1924748803806305
x86,1024,5,stage0,ml,10,2.8967915773391724,1976.0154541933534,0.24144757797122002
x86,1024,6,stage0,ml,10,2.96238911151886,2391.2047961683274,0.2962981589341164
x86,1024,7,stage0,ml,10,2.9064040184020996,2859.0237574744224,0.33914828490734106
x86,1024,8,stage0,ml,10,2.978647804260254,3251.050708837509,0.3972324711761475
x86,1024,9,stage0,ml,10,3.0153785228729246,3546.1102137172225,0.4523972397866249
x86,1024,10,stage0,ml,10,2.9220870971679687,3936.5679766869544,0.4871119190979004
x86,1024,12,stage0,ml,10,2.9515037059783937,5015.063061381341,0.590418801343918
x86,1024,16,stage0,ml,10,3.03133111000061,6667.636892433166,0.8085166336593629
x86,1024,20,stage0,ml,10,3.0300745964050293,7995.252705469131,1.010226870441437
x86,1024,24,stage0,ml,10,3.133161473274231,9887.478750005721,1.2535152422275542
x86,1024,28,stage0,ml,10,2.9055173635482787,11092.153229650497,1.3561792846097949
ARM,512,4,stage3,video,8,29.00318080186844,1961.1131668806074,0.7738048637938499
ARM,512,5,stage3,video,7,29.91769882610866,2510.9003069571086,0.9977552558507238
ARM,512,6,stage3,video,7,23.802194595336914,2484.8582732370924,0.9525638277053832
ARM,512,7,stage3,video,8,23.76241335272789,2883.617690359056,1.109467079438865
ARM,512,8,stage3,video,8,23.886302828788757,3315.0571428179737,1.274573118944168
ARM,512,9,stage3,video,8,23.74680069088936,3667.361605967581,1.4255204454740882
ARM,512,10,stage3,video,8,23.721339643001556,4059.4880682677035,1.5822133541882037
ARM,512,12,stage3,video,8,23.74305123090744,4871.9431174099445,1.9003938205218314
ARM,512,16,stage3,video,8,38.20590651035309,9992.579979681968,4.077334342784881
ARM,512,20,stage3,video,7,27.147393941879272,9243.750801188606,3.6214623518466946
ARM,512,24,stage3,video,7,23.719474179404124,9827.993617834363,3.7970134266390114
ARM,512,28,stage3,video,8,26.81470164656639,12744.120542949438,5.007913679512739
ARM,1024,4,stage,titanic,8,63.77793858200312,7860.907910700142,3.403190802735686
ARM,1024,5,stage,titanic,8,48.221961772441865,7582.023119585216,3.216404850221872
ARM,1024,6,stage,titanic,8,37.94128341476122,7302.452557574214,3.0368203245174885
ARM,1024,7,stage,titanic,9,31.720780421817114,7253.808443085351,2.9620864757892815
ARM,1024,8,stage,titanic,9,26.841130395730335,7177.109066882399,2.864485435832341
ARM,1024,9,stage,titanic,9,23.1667071742776,7138.375916600228,2.7813948633437686
